TimeInterval;PreviousTimeInterval;PriceIndex;InflationRate
T1 1991;T4 1990;140.60;40.6
T2 1991;T1 1991;140.34;40.3
T3 1991;T2 1991;124.17;24.2
T4 1991;T3 1991;134.29;34.3
T1 1992;T4 1991;150.32;50.3
T2 1992;T1 1992;126.74;26.7
T3 1992;T2 1992;116.27;16.3
T4 1992;T3 1992;134.51;34.5
T1 1993;T4 1992;136.72;36.7
T2 1993;T1 1993;146.52;46.5
T3 1993;T2 1993;141.23;41.2
T4 1993;T3 1993;144.28;44.3
T1 1994;T4 1993;122.41;22.4
T2 1994;T1 1994;118.57;18.6
T3 1994;T2 1994;107.60;07.6
T4 1994;T3 1994;110.53;10.5
T1 1995;T4 1994;105,7;05.7
T2 1995;T1 1995;103.91;03.9
T3 1995;T2 1995;105.06;05.1
T4 1995;T3 1995;109.17;09.2
T1 1996;T4 1995;106.94;06.9
T2 1996;T1 1996;107.82;07.8
T3 1996;T2 1996;113.81;13.8
T4 1996;T3 1996;114.27;14.3
T1 1997;T4 1996;153.86;53.9
T2 1997;T1 1997;137.96;38.0
T3 1997;T2 1997;107.24;07.2
T4 1997;T3 1997;114.89;14.9
T1 1998;T4 1997;116.16;16.2
T2 1998;T1 1998;109.74;09.7
T3 1998;T2 1998;104.31;04.3
T4 1998;T3 1998;108.09;08.1
T1 1999;T4 1998;109.45;09.5
T2 1999;T1 1999;116.09;16.1
T3 1999;T2 1999;108.83;08.8
T4 1999;T3 1999;110.70;10.7
T1 2000;T4 1999;109.90;09.9
T2 2000;T1 2000;109.10;09.1
T3 2000;T2 2000;109.19;09.2
T4 2000;T3 2000;108.18;08.2
T1 2001;T4 2000;108.68;08.7
T2 2001;T1 2001;106.58;06.6
T3 2001;T2 2001;105.18;05.2
T4 2001;T3 2001;107.19;07.2
T1 2002;T4 2001;105.64;05.6
T2 2002;T1 2002;104.36;04.4
T3 2002;T2 2002;102.69;02.7
T4 2002;T3 2002;104.60;04.6
T1 2003;T4 2002;104.07;04.1
T2 2003;T1 2003;102.68;02.7
T3 2003;T2 2003;102.85;02.8
T4 2003;T3 2003;104.45;04.4
T1 2004;T4 2003;102.97;3.0
T2 2004;T1 2004;101.52;01.5
T3 2004;T2 2004;102.46;02.5
T4 2004;T3 2004;102.68;02.7
T1 2005;T4 2004;101.91;01.9
T2 2005;T1 2005;102.51;02.5
T3 2005;T2 2005;101.51;01.5
T4 2005;T3 2005;102.28;02.3
T1 2006;T4 2005;102.04;2.0
T2 2006;T1 2006;101.09;01.1
T3 2006;T2 2006;100.38;0.4
T4 2006;T3 2006;101.20;01.2
T1 2007;T4 2006;101.11;01.1
T2 2007;T1 2007;101.06;01.1
T3 2007;T2 2007;101.54;01.5
T4 2007;T3 2007;102.84;02.8
T1 2008;T4 2007;102.31;02.3
T2 2008;T1 2008;101.62;01.6
T3 2008;T2 2008;101.12;01.1
T4 2008;T3 2008;101.60;01.6
T1 2009;T4 2008;102.27;02.3
T2 2009;T1 2009;100.97;1.0
T3 2009;T2 2009;100.07;0.1
T4 2009;T3 2009;101.19;01.2
T1 2010;T4 2009;102.33;02.3
T2 2010;T1 2010;100.71;0.7
T3 2010;T2 2010;103.08;03.1
T4 2010;T3 2010;101.53;01.5
T1 2011;T4 2010;102.02;2.0
T2 2011;T1 2011;101.36;01.4
T3 2011;T2 2011;99.23;-0.8
T4 2011;T3 2011;100.74;0.7
T1 2012;T4 2011;101.23;01.2
T2 2012;T1 2012;100.68;0.7
T3 2012;T2 2012;101.36;01.4
T4 2012;T3 2012;101.47;01.5
T1 2013;T4 2012;102.00;2.0
T2 2013;T1 2013;100.40;0.4
T3 2013;T2 2013;99.42;-0.6
T4 2013;T3 2013;99.94;-0.1
T1 2014;T4 2013;101.30;01.3
T2 2014;T1 2014;100.28;0.3
T3 2014;T2 2014;99.59;-0.4
T4 2014;T3 2014;100.01;0.0
T1 2015;T4 2014;100.66;0.7
T2 2015;T1 2015;99.84;-0.2
T3 2015;T2 2015;97.76;-2.2
T4 2015;T3 2015;100.54;0.5
T1 2016;T4 2015;99.27;-0.7
T2 2016;T1 2016;99.95;0.0
T3 2016;T2 2016;99.73;-0.3
T4 2016;T3 2016;100.50;0.5
T1 2017;T4 2016;99.96;0.0
T2 2017;T1 2017;100.50;0.5
T3 2017;T2 2017;100.47;0.5
T4 2017;T3 2017;102.10;02.1
T1 2018;T4 2017;101.52;01.5
T2 2018;T1 2018;101.16;01.2
T3 2018;T2 2018;100.04;0.0
T4 2018;T3 2018;100.89;0.9
T1 2019;T4 2018;101.60;01.6
T2 2019;T1 2019;101.44;01.4
T3 2019;T2 2019;99,86;-0.1
T4 2019;T3 2019;100,8;0.8
T1 2020;T4 2019;101.10;01.1
T2 2020;T1 2020;100.73;0.7
T3 2020;T2 2020;99.99;0
T4 2020;T3 2020;100.31;0.3
T1 2021;T4 2020;102.01;2.0
T2 2021;T1 2021;101.29;01.3
T3 2021;T2 2021;101.78;01.8
T4 2021;T3 2021;102.67;02.7
T1 2022;T4 2021;102.99;3.0
